,name,lat,lng,address,genre,zipcode
419,Elite Traveler Magazine,40.75208120013346,-73.97396643680298,708 3rd Ave,Offices,10022
420,Seven Hills Travel,40.77493559652291,-73.9820408821106,1991 Broadway,NA,10023
421,One World Communicates & Travel,40.77472435289935,-73.98201942443848,NA,Travel Agencies,10023
422,Liberty travel 2047 broadway,40.777536,-73.98194,2047B Broadway,NA,10023
423,Walt Disney Corporate Travel,40.776191622527634,-73.987626588654,NA,Offices,10023
424,Eat-Write- Travel,40.78219985961914,-73.98357391357422,311 W 75th St Apt 2A,General Colleges & Universities,10023
425,Innovation Luggage and Travelware,40.776146999999995,-73.982795,2001 Broadway,Gift Shops,10023
426,Travelers Patron Lounge,40.772122,-73.983772,20 Lincoln Center Plz,Theaters,10023
427,Island Travel Specialists,40.786507,-73.976837,208 W 84th St,General Travel,10024
428,Cook Travel,40.783361,-73.97514749999999,108 W 81st St,Travel Agencies,10024
429,Bambi Jones Travel,40.79288864135742,-73.9709243774414,711 Amsterdam Ave Apt 10D,General Travel,10024
430,Liberty Travel,40.78564438624774,-73.97867270008311,2144 Broadway,Travel Agencies,10024
431,Eat-Write- Travel,40.78219985961914,-73.98357391357422,311 W 75th St Apt 2A,General Colleges & Universities,10024
432,Traveling Rings,40.80258323744255,-73.97222316109459,NA,Other Great Outdoors,10024
433,Travelex Currency Services,40.79104303026586,-73.97308830420383,JFK Access Road,Currency Exchanges,10024
434,Bambi Jones Travel,40.79288864135742,-73.9709243774414,711 Amsterdam Ave Apt 10D,General Travel,10025
435,Traveling Rings,40.80258323744255,-73.97222316109459,NA,Other Great Outdoors,10025
436,Travelex Currency Services,40.79104303026586,-73.97308830420383,JFK Access Road,Currency Exchanges,10025
437,BxM7 bus traveling on 5th Ave,40.79975474522557,-73.94759775788835,NA,General Travel,10026
438,jp travel with pazaaz,40.8124656,-73.9563493,1315 Amsterdam Ave,Taxis,10027
439,MOMA Travel Services,40.8195915222168,-73.95219421386719,1536 Amsterdam Ave,General Travel,10027
440,D And J's Travel Agency,40.821760999999995,-73.95053100000001,1608 Amsterdam Ave,Travel Agencies,10027
441,Travel Medicine Consultations,40.7782225,-73.9549804,"178 East 85th Street, Third Floor",Medical Centers,10028
